"Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skipwith Pond - Skipwith Common - North Yorkshire - England,Polycelis tenuis (Ijima),Small oligochaetes (principally Enchytraeidae),Lumbriculus variegatus (Muller),Oribatei sp.,Argyroneta aquatica (Clerk),Scaphaloberis mucronata (Muller),Chydorus latus Sars,Acanthocyclops vernalis (Fischer),Enallagma cyathigerum (Charpentier),Lestes sponsa (Hansemann),Aeshna juncea (L.),Sympetrum scoticum (Donovan),Notonecta glauca L.,Callicorixa praeusta (Fieber),Corixa dentipes (Thomson),Corixa punctata (Illinger),Hesperocorixa linnei (Fieber),Hesperocorixa sahlbergi (Fieber),Arctocorisa germari (Fieber),Sigaria semistraiata (Fieber),Hydroporus erythrocephalus,Agabus sturmii (Gyllenhal),Agabus bipustulatus (L.),Ilybius fuliginosus (Fabricus),Dytiscus marginalis L.,Sialis lutaria (L.),Holocentropus picicornis (Stephens),Limnephilus marmoratus Curtis,Procladius sagittalis (Kieffer),Corynoneura scutellata Winnertz,Chironomus dorsalis Meigen,Glyptotendipes pallens (Meigen),Tanytarsus bruchonius Reiss & Fittkau,Other Chironomidae
Callicorixa praeusta (Fieber),0,0,0,0,1,0,0,0,1c,1c,1c,1c,2c,0,0,0,0,0,0,0,0,1c,2c,1c,2c,1c,1c,0,0,0,0,0,0,0
Corixa dentipes (Thomson),0,0,0,0,2c,0,0,0,1c,1c,1c,1c,2c,0,0,0,0,0,0,0,0,1c,1c,1c,2c,1c,1c,0,0,0,0,0,0,0
Corixa punctata (Illinger),0,0,0,0,2c,0,0,0,1c,1c,1c,1c,2c,0,0,0,0,0,0,0,0,1c,1c,1c,2c,1c,1c,0,0,0,0,0,0,0
Hesperocorixa linnei (Fieber),0,0,0,0,2c,0,0,0,1c,1c,1c,1c,2c,0,0,0,0,0,0,0,0,1c,2c,1c,2c,1c,1c,0,0,0,0,0,0,0
Hesperocorixa sahlbergi (Fieber),0,0,0,0,2c,0,0,0,1c,1c,1c,1c,2c,0,0,0,0,0,0,0,0,1c,2c,1c,2c,1c,1c,0,0,0,0,0,0,0
Arctocorisa germari (Fieber),0,0,0,0,2c,0,0,0,1c,1c,1c,1c,2c,0,0,0,0,0,0,0,0,1c,2c,1c,2c,1c,1c,0,0,0,0,0,0,0
Sigaria semistraiata (Fieber),0,0,0,0,2c,0,0,0,1c,1c,1c,1,2c,0,0,0,0,0,0,0,0,1c,2c,1c,2c,1c,1c,0,0,0,0,0,0,0
Hydroporus erythrocephalus,0,0,0,0,0,0,0,0,2c,2c,2,2,1c,0,0,0,0,0,0,0,2c,2c,2c,2c,2c,2c,2c,0,0,0,0,0,0,0
Agabus sturmii (Gyllenhal),0,0,0,0,0,0,0,0,1c,1c,1c,1c,1c,0,0,0,0,0,0,0,0,2c,2c,2c,2c,0,0,0,0,0,0,0,0,0
Agabus bipustulatus (L.),0,0,0,0,0,0,0,0,1c,1c,1c,1c,1c,0,0,0,0,0,0,0,0,2c,2c,2c,2c,0,0,0,0,0,0,0,0,0
Ilybius fuliginosus (Fabricus),0,0,0,0,0,0,0,0,1c,1c,1c,1c,1c,0,0,0,0,0,0,0,0,2c,2c,2c,2c,0,0,0,0,0,0,0,0,0
Dytiscus marginalis L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2c,0,0,0,0,0,0,0,0,0
Sialis lutaria (L.),0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,2a,1,2,2,2,1,0,0,0,0,0,0,0,0
Holocentropus picicornis (Stephens),0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0
Limnephilus marmoratus Curtis,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1a,2a,2a,2a,0,0,0,0,0,0,0,0,0
Procladius sagittalis (Kieffer),2,0,0,0,2,0,0,0,1,1,1,1,2,2b,0,0,0,0,0,0,2a,1,2,1,2,1,2,0,0,0,0,0,0,0
Corynoneura scutellata Winnertz,2,0,0,0,2,0,0,2,1,2,1,1,2,2b,0,0,0,0,0,0,2a,2,2,1,2,2,2,2,2,0,0,0,0,0
Chironomus dorsalis Meigen,1,0,0,0,1,0,0,0,1,1,1,1,1,1b,0,0,0,0,0,0,2a,1,2,1,2,1,1,1,1,0,0,0,0,0
Glyptotendipes pallens (Meigen),1,0,0,0,1,0,0,0,1,1,1,1,1,2b,0,0,0,0,0,0,2a,1,2,1,2,1,1,1,1,0,0,0,0,0
Tanytarsus bruchonius Reiss & Fittkau,1,0,0,0,1,0,0,1,1,1,1,1,1,1b,0,0,0,0,0,0,2a,1,2,1,2,1,1,1,1,0,0,0,0,0
Other Chironomidae,2,0,0,0,2,0,0,2,2,2,2,2,2,2b,0,0,0,0,0,0,2a,2,2,2,2,2,2,2,2,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB: 1=links based on direct experiment or gut contents analysis; 2=links based on good evidence from other studies and/or strong inteference from similar species in this study. For species with adult and larval aquatic stages interactions are qualified  by letters: a=consumer as larva; b=consumer as adult; c=resource as larva. No suffix=interactions common to both larva and adult. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
