AphiaID	ScientificName	Authority	DrID	Longitude	Source	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
149387	Achnanthes brevipes	C.Agardh, 1824	708585		Kim, K. Y. , Garbary, D. J. and McLachlan, J.L. 2004.  Phytoplankton dynamics in Pomquet Harbour, Nova Scotia: a lagoon in the southern Gulf of St. Lawrence. Phycologia 43(3) :311-328.	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes		brevipes	
160618	Achnanthes brevipes var. intermedia	(Kützing) Cleve, 1895	708394		Brunel, J. 1970. Le phytoplancton de la Baie des Chaleurs. Contributions du Ministère de la Chasse et des Pêcheries, Montreal. 91: 365 pp.	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes		brevipes	
160629	Achnanthes hauckiana var. rostrata	Schulz, 1926	708589		Mather, L., MacIntosh, K., Kaczmarska, I., Klein, G. and Martin, J.L. 2010. A checklist of diatom species reported (and presumed native) from Canadian coastal waters.  Can. Tech. Rep. Fish. Aquat. Sci. 2881: 81 p	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes		hauckiana	
156533	Achnanthes longipes	C.Agardh, 1824	708586		Kim, K. Y. , Garbary, D. J. and McLachlan, J.L. 2004.  Phytoplankton dynamics in Pomquet Harbour, Nova Scotia: a lagoon in the southern Gulf of St. Lawrence. Phycologia 43(3) :311-328.	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes		longipes	
271694	Acipenser fulvescens	Rafinesque, 1817	775117		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Chordata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser		fulvescens	
151802	Acipenser oxyrinchus	Mitchill, 1815	774879		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Chordata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser		oxyrinchus	
159951	Acirsa borealis	(Lyell, 1841)	775072		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Epitoniidae	Acirsa		borealis	
160065	Acteocina canaliculata	(Say, 1826)	775076		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Mollusca	Gastropoda	Cephalaspidea	Acteocinidae	Acteocina		canaliculata	
160065	Acteocina canaliculata	(Say, 1826)	749651		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Mollusca	Gastropoda	Cephalaspidea	Acteocinidae	Acteocina		canaliculata	
160065	Acteocina canaliculata	(Say, 1826)	749297		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Mollusca	Gastropoda	Cephalaspidea	Acteocinidae	Acteocina		canaliculata	
158210	Actinauge cristata	Riemann-Zürneck, 1986	749581		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Actinauge		cristata	
158210	Actinauge cristata	Riemann-Zürneck, 1986	749227		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Actinauge		cristata	
158216	Actinauge verrilli	McMurrich, 1893	769677		Préfontaine, G. & P. Brunel. (1962). Liste d'invertébrés marins recueillis dans l'estuaire du Saint-Laurent de 1929 à 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1.	Animalia	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Actinauge		verrilli	
592915	Actinauge verrillii	McMurrich, 1893	775178		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Actinauge		verrillii	
549187	Actinocyclus tenuissimus	Cleve, 1878	708418		Bérard-Therriault, L., Poulin, M. and Bossé, L. 1999. Guide d’intentification du phytoplankton marin de l’estuaire et du golfe du Saint-Laurent incluant également certains protozoaires. Publ. spéc. Can. Sci. halieut. Aquatic. 128. 387 p. 	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Hemidiscaceae	Actinocyclus		tenuissimus	
148948	Actinoptychus senarius	(Ehrenberg) Ehrenberg, 1843	708215		Bates, S.S. and Strain, P.M. 2006. Nutrients and phytoplankton in Prince Edward Island Inlets during late summer to fall, 2001-2003. Can. Tech. Rep. Fish. Aquat. Sci.: 2668: xii + 136 p. 	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Heliopeltaceae	Actinoptychus		senarius	
148948	Actinoptychus senarius	(Ehrenberg) Ehrenberg, 1843	708416		Bérard-Therriault, L., Cardinal, A. and Poulin, M. 1987. Les diatomées (Bacillariophyta) benthiques de substrats durs des eaux marines et saumâtres du Québec. 8. Centrales. Naturaliste can. (Rev. Écol. Syst.) 114: 81-103.	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Heliopeltaceae	Actinoptychus		senarius	
148948	Actinoptychus senarius	(Ehrenberg) Ehrenberg, 1843	708587		Kim, K. Y. , Garbary, D. J. and McLachlan, J.L. 2004.  Phytoplankton dynamics in Pomquet Harbour, Nova Scotia: a lagoon in the southern Gulf of St. Lawrence. Phycologia 43(3) :311-328.	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Heliopeltaceae	Actinoptychus		senarius	
148948	Actinoptychus senarius	(Ehrenberg) Ehrenberg, 1843	708331		Bérard-Therriault, L., Cardinal, A. and Poulin, M. 1987. Les diatomées (Bacillariophyta) benthiques de substrats durs des eaux marines et saumâtres du Québec. 8. Centrales. Naturaliste can. (Rev. Écol. Syst.) 114: 81-103.	Chromista	Ochrophyta	Bacillariophyceae	Coscinodiscales	Heliopeltaceae	Actinoptychus		senarius	
100839	Actinostola callosa	(Verrill, 1882)	774235		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Cnidaria	Anthozoa	Actiniaria	Actinostolidae	Actinostola		callosa	
100839	Actinostola callosa	(Verrill, 1882)	769097		Préfontaine, G. & P. Brunel. (1962). Liste d'invertébrés marins recueillis dans l'estuaire du Saint-Laurent de 1929 à 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1.	Animalia	Cnidaria	Anthozoa	Actiniaria	Actinostolidae	Actinostola		callosa	
140629	Adalaria proxima	(Alder & Hancock, 1854)	774828		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Mollusca	Gastropoda	Nudibranchia	Onchidorididae	Adalaria		proxima	
138969	Admete viridula	(Fabricius, 1780)	774779		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Mollusca	Gastropoda	Neogastropoda	Cancellariidae	Admete		viridula	
138969	Admete viridula	(Fabricius, 1780)	769510		Préfontaine, G. & P. Brunel. (1962). Liste d'invertébrés marins recueillis dans l'estuaire du Saint-Laurent de 1929 à 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1.	Animalia	Mollusca	Gastropoda	Neogastropoda	Cancellariidae	Admete		viridula	
118827	Aega psora	(Linnaeus, 1758)	774465		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Arthropoda	Malacostraca	Isopoda	Aegidae	Aega		psora	
101820	Aeginina longicornis	(Krøyer, 1843)	774244		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	Aeginina		longicornis	
117265	Aeginopsis laurentii	Brandt, 1838	774436		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Cnidaria	Hydrozoa	Narcomedusae	Aeginidae	Aeginopsis		laurentii	
138709	Aeolidia papillosa	(Linnaeus, 1761)	774759		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Mollusca	Gastropoda	Nudibranchia	Aeolidiidae	Aeolidia		papillosa	
138709	Aeolidia papillosa	(Linnaeus, 1761)	769489		Préfontaine, G. & P. Brunel. (1962). Liste d'invertébrés marins recueillis dans l'estuaire du Saint-Laurent de 1929 à 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1.	Animalia	Mollusca	Gastropoda	Nudibranchia	Aeolidiidae	Aeolidia		papillosa	
117849	Aglantha digitale	(O. F. Müller, 1776)	774449		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Aglantha		digitale	
117849	Aglantha digitale	(O. F. Müller, 1776)	769269		Préfontaine, G. & P. Brunel. (1962). Liste d'invertébrés marins recueillis dans l'estuaire du Saint-Laurent de 1929 à 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1.	Animalia	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Aglantha		digitale	
157145	Aglaophamus circinata	(Verrill in Smith & Harger, 1874)	774937		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		circinata	
157145	Aglaophamus circinata	(Verrill in Smith & Harger, 1874)	749016		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		circinata	
157145	Aglaophamus circinata	(Verrill in Smith & Harger, 1874)	749370		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		circinata	
130344	Aglaophamus malmgreni	(Théel, 1879)	774645		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		malmgreni	
157146	Aglaophamus neotenus	Noyes, 1980	749371		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		neotenus	
157146	Aglaophamus neotenus	Noyes, 1980	749017		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Annelida	Polychaeta	Phyllodocida	Nephtyidae	Aglaophamus		neotenus	
136340	Akanthophoreus gracilis	(Krøyer, 1842)	774755		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Arthropoda	Malacostraca	Tanaidacea	Akanthophoreidae	Akanthophoreus		gracilis	
136340	Akanthophoreus gracilis	(Krøyer, 1842)	749476		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Arthropoda	Malacostraca	Tanaidacea	Akanthophoreidae	Akanthophoreus		gracilis	
136340	Akanthophoreus gracilis	(Krøyer, 1842)	749122		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Arthropoda	Malacostraca	Tanaidacea	Akanthophoreidae	Akanthophoreus		gracilis	
136342	Akanthophoreus longiremis	(Lilljeborg, 1864)	749123		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Arthropoda	Malacostraca	Tanaidacea	Akanthophoreidae	Akanthophoreus		longiremis	
136342	Akanthophoreus longiremis	(Lilljeborg, 1864)	749477		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Arthropoda	Malacostraca	Tanaidacea	Akanthophoreidae	Akanthophoreus		longiremis	
468026	Alcyonidioides mytili	(Dalyell, 1848)	769757		Préfontaine, G. & P. Brunel. (1962). Liste d'invertébrés marins recueillis dans l'estuaire du Saint-Laurent de 1929 à 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1.	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Alcyonidiidae	Alcyonidioides		mytili	
111596	Alcyonidium cellarioides	Calvet, 1900	774426		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Alcyonidiidae	Alcyonidium		cellarioides	
111600	Alcyonidium gelatinosum	(Hudson) J.V.Lamouroux	774427		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Alcyonidiidae	Alcyonidium		gelatinosum	
109712	Alexandrium ostenfeldii	(Paulsen) Balech & Tangen, 1985	814137		Molnar, J. L.; Gamboa, R. L.; Revenga, C.; Spalding, M. D. (2008). Assessing the global threat of invasive species to marine biodiversity. <em>Frontiers in Ecology and the Environment.</em> 6(9): 485-492.	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium		ostenfeldii	
234850	Alitta succinea	(Leuckart, 1847)	749378		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Alitta		succinea	
234850	Alitta succinea	(Leuckart, 1847)	749024		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Alitta		succinea	
234851	Alitta virens	(M. Sars, 1835)	769718		Préfontaine, G. & P. Brunel. (1962). Liste d'invertébrés marins recueillis dans l'estuaire du Saint-Laurent de 1929 à 1934. Naturaliste Canadien, Quebec 89(8-9):237-263, fig. 1.	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Alitta		virens	
234851	Alitta virens	(M. Sars, 1835)	775104		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Alitta		virens	
158669	Alosa pseudoharengus	(Wilson, 1811)	775023		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa		pseudoharengus	
158669	Alosa pseudoharengus	(Wilson, 1811)	659404		Nozères C., Archambault D., Chouinard P.-M., Gauthier J., Miller R., Parent E., Schwab P., Savard L., and Dutil J.-D. 2010. Identification guide for marine fishes of the estuary and northern Gulf of St. Lawrence and sampling protocols used during trawl surveys between 2004 and 2008. Can. Tech. Rep. Fish. Aquat. Sci. 2866: xi + 243 p	Animalia	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa		pseudoharengus	
158670	Alosa sapidissima	(Wilson, 1811)	659405		Nozères C., Archambault D., Chouinard P.-M., Gauthier J., Miller R., Parent E., Schwab P., Savard L., and Dutil J.-D. 2010. Identification guide for marine fishes of the estuary and northern Gulf of St. Lawrence and sampling protocols used during trawl surveys between 2004 and 2008. Can. Tech. Rep. Fish. Aquat. Sci. 2866: xi + 243 p	Animalia	Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa		sapidissima	
141216	Alvania moerchi	(Collin, 1886)	774836		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Alvania		moerchi	
140521	Amauropsis islandica	(Gmelin, 1791)	774821		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Mollusca	Gastropoda	Littorinimorpha	Naticidae	Amauropsis		islandica	
105865	Amblyraja radiata	(Donovan, 1808)	659406		Nozères C., Archambault D., Chouinard P.-M., Gauthier J., Miller R., Parent E., Schwab P., Savard L., and Dutil J.-D. 2010. Identification guide for marine fishes of the estuary and northern Gulf of St. Lawrence and sampling protocols used during trawl surveys between 2004 and 2008. Can. Tech. Rep. Fish. Aquat. Sci. 2866: xi + 243 p	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Amblyraja		radiata	
105865	Amblyraja radiata	(Donovan, 1808)	774369		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Chordata	Elasmobranchii	Rajiformes	Rajidae	Amblyraja		radiata	
547000	Ameroculodes edwardsi	(Holmes, 1905)	775165		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Arthropoda	Malacostraca	Amphipoda	Oedicerotidae	Ameroculodes		edwardsi	
159928	Amicula vestita	(Broderip & G. B. Sowerby I, 1829)	775069		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Mollusca	Polyplacophora	Chitonida	Mopaliidae	Amicula		vestita	
159587	Ammodytes americanus	DeKay, 1842	775057		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		americanus	
159587	Ammodytes americanus	DeKay, 1842	659407		Nozères C., Archambault D., Chouinard P.-M., Gauthier J., Miller R., Parent E., Schwab P., Savard L., and Dutil J.-D. 2010. Identification guide for marine fishes of the estuary and northern Gulf of St. Lawrence and sampling protocols used during trawl surveys between 2004 and 2008. Can. Tech. Rep. Fish. Aquat. Sci. 2866: xi + 243 p	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		americanus	
159587	Ammodytes americanus	DeKay, 1842	749204		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		americanus	
159587	Ammodytes americanus	DeKay, 1842	749558		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		americanus	
151520	Ammodytes dubius	Reinhardt, 1837	659408		Nozères C., Archambault D., Chouinard P.-M., Gauthier J., Miller R., Parent E., Schwab P., Savard L., and Dutil J.-D. 2010. Identification guide for marine fishes of the estuary and northern Gulf of St. Lawrence and sampling protocols used during trawl surveys between 2004 and 2008. Can. Tech. Rep. Fish. Aquat. Sci. 2866: xi + 243 p	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		dubius	
151520	Ammodytes dubius	Reinhardt, 1837	774878		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		dubius	
151520	Ammodytes dubius	Reinhardt, 1837	749203		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		dubius	
151520	Ammodytes dubius	Reinhardt, 1837	749557		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Chordata	Actinopteri	Perciformes	Ammodytidae	Ammodytes		dubius	
101895	Ampelisca declivitatis	Mills, 1967	749470		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		declivitatis	
101895	Ampelisca declivitatis	Mills, 1967	749116		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		declivitatis	
101897	Ampelisca eschrichtii	Krøyer, 1842	774250		Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		eschrichtii	
101897	Ampelisca eschrichtii	Krøyer, 1842	749117		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		eschrichtii	
101897	Ampelisca eschrichtii	Krøyer, 1842	749471		Mark, S., Provencher, L., Albert, E. et Nozères, C. 2010. Cadre de suivi écologique de la zone de protection marine Manicouagan (Québec) : bilan des connaissances et identification des composantes écologiques à suivre. Rapp. tech. can. sci. halieut. aquat. 2914 : xi + 121 p	Animalia	Arthropoda	Malacostraca	Amphipoda	Ampeliscidae	Ampelisca		eschrichtii	
